datetime,HomeTeamProb,AwayTeamProb,AwayTeam,HomeTeam,HomeTeamHasWon,ConsensusHomeMoneyLine,ConsensusAwayMoneyLine
2019-01-21,0.4656089913493739,0.534391008650626,NOP,MEM,False,-140.0,130.0
2019-01-21,0.7529825043158721,0.2470174956841279,MIA,BOS,True,-355.0,320.0
2019-01-21,0.6628349929716594,0.3371650070283406,HOU,PHI,True,-178.0,167.0
2019-01-21,0.6992577333598539,0.3007422666401461,POR,UTA,False,-215.0,195.0
2019-01-21,0.4325711311710868,0.5674288688289132,GSW,LAL,False,760.0,-960.0
2019-01-22,0.8326793870110659,0.16732061298893408,SAC,TOR,True,-615.0,510.0
2019-01-22,0.6426689780579962,0.35733102194200383,POR,OKC,True,-170.0,160.0
2019-01-22,0.6154820391730015,0.3845179608269985,LAC,DAL,True,-145.0,135.0
2019-01-22,0.3669529296237598,0.6330470703762402,MIN,PHO,False,160.0,-170.0
2019-01-23,0.5954962103997756,0.4045037896002244,TOR,IND,True,-240.0,220.0
2019-01-23,0.7434761110212598,0.25652388897874023,ORL,BRK,True,-200.0,185.0
2019-01-23,0.9163429417771984,0.08365705822280156,CLE,BOS,True,-1300.0,1050.0
2019-01-23,0.2725545627984252,0.7274454372015748,HOU,NYK,False,305.0,-335.0
2019-01-23,0.6581201790174284,0.34187982098257164,LAC,MIA,False,-210.0,190.0
2019-01-23,0.5333800670181603,0.4666199329818397,CHO,MEM,False,-113.0,103.0
2019-01-23,0.5593554404353471,0.4406445595646529,ATL,CHI,False,-118.0,108.0
2019-01-23,0.7195385448744294,0.28046145512557064,SAS,PHI,True,-145.0,135.0
2019-01-23,0.766725157508231,0.23327484249176897,DET,NOP,False,-200.0,185.0
2019-01-23,0.6660929117202046,0.3339070882797954,DEN,UTA,True,-170.0,160.0
2019-01-24,0.6987673703991205,0.3012326296008795,NOP,OKC,True,-1200.0,1000.0
2019-01-24,0.3700611846278559,0.6299388153721441,GSW,WAS,False,390.0,-440.0
2019-01-24,0.27449662270996783,0.7255033772900321,POR,PHO,False,345.0,-385.0
